lab_name;tube_number;species;antigen_target;clone;company;order_number;lot_number;fluorochrome;processing;status;volume_on_arrival;cost_chf;quality_color;current_vol;antibody_code
Experimental Pathology Facility;50E;mouse;CD4;BLR167J;Thermo;MA5-44519;;APC (in house conj);FFPE;in use;100;6.2;no;33.75;32
Experimental Pathology Facility;51E;mouse;CD20;L26;invitrogen;14-0202-82;;APC (in house conj);FFPE;in use;100;6.2;no;86.25;33
Experimental Pathology Facility;58E01;mouse;CD4;4SM95;Thermo Fischer;14-9766-82;;APC (in house conj);FFPE;none;100;7;good;15;34
Experimental Pathology Facility;58E02;mouse;CD4;4SM95;Thermo Fischer;14-9766-82;;APC (in house conj);FFPE;in use;100;7;good;79;34
Experimental Pathology Facility;62E;Rabbit;Donkey anti-Rabbit IgG (H+L);polyclonal donkey IgG;Thermo Fischer;A-21206;;AF488;FFPE;in use;500;1.008;good;498;35
Experimental Pathology Facility;60E;mouse;Donkey anti-Mouse IgG (H+L);polyclonal donkey IgG;Thermo Fischer;A-31571;;AF647;FFPE;in use;500;1.008;good;498;36
Experimental Pathology Facility;61E;goat;Donkey anti-Goat IgG (H+L);polyclonal donkey IgG;Thermo Fischer;A-21447;;AF647;FFPE;in use;500;0.916;good;498;37
Experimental Pathology Facility;7E;human;Annexin 1;REA1122;Miltenyi;130-119-352;;FITC;PFA;in use;200;1.8;not tested;194;38
Experimental Pathology Facility;8E;human/mouse;TOM22;REA1185;Miltenyi;130-122-078;;PE;PFA;in use;200;1.8;not tested;194;39
Experimental Pathology Facility;9E;human;CD3;REA1151;Miltenyi;130-120-267;;APC;PFA;in use;200;1.8;not tested;194;40
Experimental Pathology Facility;10E;human;CD163;REA812;Miltenyi;130-112-132;;FITC;PFA;in use;200;1.8;not tested;194;41
Experimental Pathology Facility;11E;human;CD183 (CXCR3);REA232;Miltenyi;130-112-128;;PE;PFA;in use;200;1.8;not tested;194;42
Experimental Pathology Facility;13E;human;CD271 (LNGFR);REAL709;Miltenyi;130-125-053;;PE;PFA;in use;200;2.2;not tested;176;43
Experimental Pathology Facility;15E;human;CD2AP;REA1147;Miltenyi;130-119-791;;PE;PFA;in use;200;1.8;not tested;194;44
Experimental Pathology Facility;16E;human;CD147;REA282;Miltenyi;130-124-221;;FITC;PFA;in use;200;1.8;not tested;194;45
Experimental Pathology Facility;17E;human;CD38;REA671;Miltenyi;130-117-717;;PE;PFA;in use;200;1.8;not tested;194;46
Experimental Pathology Facility;18E;human;Cytokeratin LMW;REA831;Miltenyi;130-112-743;;FITC;PFA;in use;200;1.8;not tested;194;47
Experimental Pathology Facility;20E;human;CD31;REA1028;Miltenyi;130-117-224;;FITC;PFA;in use;200;1.8;not tested;194;48
Experimental Pathology Facility;21E;human;CD20;REA1087;Miltenyi;130-118-293;;PE;PFA;in use;200;1.8;not tested;194;49
Experimental Pathology Facility;22E;human;CD45RA;REA562;Miltenyi;130-113-365;;FITC;PFA;in use;200;1.3;not tested;194;50
Experimental Pathology Facility;23E;human/mouse;JNK2 (MAPK9);REA1153;Miltenyi;130-120-271;;PE;PFA;in use;200;1.8;not tested;194;51
Experimental Pathology Facility;24E;human;CD45RB;REA119;Miltenyi;130-100-391;;APC;PFA;in use;200;1.8;not tested;194;52
Experimental Pathology Facility;25E;human;Vimentin;REA409;Miltenyi;130-116-508;;FITC;PFA;in use;200;1.8;not tested;194;53
Experimental Pathology Facility;1E;human;Cytokeratin LMW;REA831;Miltenyi;130-112-743;;FITC;PFA;in use;200;1.8;not tested;200;54
Experimental Pathology Facility;2E;human;CD8;REA734;Miltenyi;130-110-678;;PE;PFA;in use;200;1.8;not tested;200;55
Experimental Pathology Facility;3E01;human/mouse;Ki67;REA183;Miltenyi;130-117-691;;FITC;PFA;in use;200;1.8;not tested;200;56
Experimental Pathology Facility;3E02;human/mouse;Ki67;REA183;Miltenyi;130-117-691;;FITC;PFA;in use;200;1.8;not tested;194;57
Experimental Pathology Facility;4E01;human;CD45RO;REA611;Miltenyi;130-113-558;;FITC;PFA;backup;200;1.8;not tested;200;58
Experimental Pathology Facility;4E02;human;CD45RO;REA611;Miltenyi;130-113-558;;FITC;PFA;in use;200;1.8;not tested;194;58
Experimental Pathology Facility;5E01;human;HLA-DR_DP_DQ;REA332;Miltenyi;130-120-715;;PE;PFA;backup;200;1.8;not tested;200;59
Experimental Pathology Facility;5E02;human;HLA-DR_DP_DQ;REA332;Miltenyi;130-120-715;;PE;PFA;in use;200;1.8;not tested;194;59
Experimental Pathology Facility;6E;human;CD57_REA769;REA769;Miltenyi;130-111-810;;PE;PFA;in use;200;1.8;not tested;200;60
Gonzalez;1G;human;CD56;CD564;Leica biosystems;NCL-L-CD56-504;;primary;FFPE;in use;1000;0.6;good;994.5;61
Gonzalez;2G;human;Podoplanin;REA446;miltenyi;130-126-165;;APC;FFPE;in use;200;1.7;good;189;62
Gonzalez;3G;human;LY VE-1;REAL1161;miltenyi;130-128-001;;FITC;FFPE;in use;200;2.1;good;189;63
Gonzalez;4G;human;VEGFR-3 (FLT-4);REAL1031;miltenyi;130-127-944;;FITC;FFPE;in use;200;2.2;good;189;64
Gonzalez;5G;human;CD49a (Integrin a1);REA1474;miltenyi;130-138-990;;PE;FFPE;in use;200;1.7;good;189;65
Gonzalez;6G;human;CD158I (KIR2DS4);JJC11.6;miltenyi;130-126-360;;PE;FFPE;in use;200;1.7;good;189;66
Gonzalez;7G;human;GranzymeB;REA1399;miltenyi;130-136-373;;PE;FFPE;in use;200;1.5;good;135;67
Rossi;1R0;mouse;CD5;EPR26533-75;Abcam;AB314468-1001;;AF647;FFPE;none;100;5.6;good;0;68
Rossi;1R1;mouse;CD5;EPR26533-75;Abcam;AB314468-1001;;AF647;FFPE;in use;100;5.6;good;47;69
